,region,age.group,employment.type,work.location,education,is.dev.professional,experience.years,dev.role,company.size,people.manager,industry,tech.purchase.influence,build.vs.buy,uses.ai,ai.sentiment,ai.job.threat,daily.search.time,daily.answer.time,cloud.hosting,first.help.source,job.satisfaction,job_sat_missing,side.coding_Hobby,side.coding_Professionaldevelopmentorself-pacedlearningfromonlinecourses,side.coding_Contributetoopen-sourceprojects,side.coding_Freelance_contractwork,side.coding_Bootstrappingabusiness,side.coding_Schooloracademicwork,side.coding_Idon’tcodeoutsideofwork,side.coding_Otherpleasespecify:,"how.learned.coding_Otheronlineresourceseg,videos,blogs,forum,onlinecommunity",how.learned.coding_OnlineCoursesorCertification,how.learned.coding_Books_Physicalmedia,"how.learned.coding_Schoolie,University,College,etc",how.learned.coding_Onthejobtraining,how.learned.coding_Colleague,how.learned.coding_CodingBootcamp,how.learned.coding_Friendorfamilymember,how.learned.coding_Otherpleasespecify:,prog.languages_JavaScript,prog.languages_SQL,prog.languages_HTML_CSS,prog.languages_Python,prog.languages_TypeScript,prog.languages_Bash_Shellallshells,prog.languages_Java,prog.languages_C#,prog.languages_C++,prog.languages_PHP,prog.languages_C,prog.languages_Go,prog.languages_PowerShell,prog.languages_Rust,prog.languages_Kotlin,databases_PostgreSQL,databases_MySQL,databases_SQLite,databases_Redis,databases_MongoDB,databases_MicrosoftSQLServer,databases_Elasticsearch,databases_MariaDB,databases_Dynamodb,databases_Oracle,databases_BigQuery,databases_H2,databases_FirebaseRealtimeDatabase,databases_CosmosDB,databases_CloudFirestore,cloud.platforms_AmazonWebServicesAWS,cloud.platforms_MicrosoftAzure,cloud.platforms_GoogleCloud,cloud.platforms_Cloudflare,cloud.platforms_Firebase,cloud.platforms_DigitalOcean,cloud.platforms_Heroku,cloud.platforms_Vercel,cloud.platforms_Hetzner,cloud.platforms_VMware,cloud.platforms_Netlify,cloud.platforms_ManagedHosting,cloud.platforms_OVH,cloud.platforms_OpenShift,cloud.platforms_Supabase,web.frameworks_React,web.frameworks_Nodejs,web.frameworks_Angular,web.frameworks_ASPNETCORE,web.frameworks_jQuery,web.frameworks_Vuejs,web.frameworks_Nextjs,web.frameworks_SpringBoot,web.frameworks_Express,web.frameworks_ASPNET,web.frameworks_Django,web.frameworks_FastAPI,web.frameworks_Flask,web.frameworks_WordPress,web.frameworks_NestJS,other.tech_NET5+,other.tech_RabbitMQ,other.tech_Pandas,other.tech_NETFramework10-48,other.tech_NumPy,other.tech_SpringFramework,other.tech_ApacheKafka,other.tech_TensorFlow,other.tech_Opencv,other.tech_Torch_PyTorch,other.tech_Flutter,other.tech_ReactNative,other.tech_Scikit-Learn,other.tech_Qt,other.tech_Electron,dev.tools_Docker,dev.tools_npm,dev.tools_Pip,dev.tools_Kubernetes,dev.tools_Homebrew,dev.tools_Webpack,dev.tools_Yarn,dev.tools_Make,dev.tools_NuGet,dev.tools_Gradle,dev.tools_Mavenbuildtool,dev.tools_Vite,dev.tools_Terraform,dev.tools_VisualStudioSolution,dev.tools_MSBuild,dev.environments_VisualStudioCode,dev.environments_IntelliJIDEA,dev.environments_VisualStudio,dev.environments_Notepad++,dev.environments_Vim,dev.environments_PyCharm,dev.environments_AndroidStudio,dev.environments_WebStorm,dev.environments_JupyterNotebook_JupyterLab,dev.environments_SublimeText,dev.environments_Neovim,dev.environments_PhpStorm,dev.environments_Rider,dev.environments_Xcode,dev.environments_Nano,personal.os_Windows,personal.os_MacOS,personal.os_Ubuntu,personal.os_Android,personal.os_WindowsSubsystemforLinuxWSL,personal.os_iOS,personal.os_Debian,personal.os_OtherLinux-based,personal.os_Arch,personal.os_iPadOS,personal.os_Fedora,personal.os_Otherpleasespecify:,personal.os_RedHat,personal.os_BSD,personal.os_ChromeOS,work.os_Windows,work.os_MacOS,work.os_Ubuntu,work.os_WindowsSubsystemforLinuxWSL,work.os_Debian,work.os_Android,work.os_iOS,work.os_OtherLinux-based,work.os_Arch,work.os_RedHat,work.os_Fedora,work.os_Otherpleasespecify:,work.os_Other,work.os_iPadOS,project.mgmt.tools_Jira,project.mgmt.tools_Confluence,project.mgmt.tools_MarkdownFile,project.mgmt.tools_Trello,project.mgmt.tools_Notion,project.mgmt.tools_Miro,project.mgmt.tools_AzureDevops,project.mgmt.tools_GitHubDiscussions,project.mgmt.tools_Obsidian,project.mgmt.tools_Clickup,project.mgmt.tools_Redmine,project.mgmt.tools_Asana,project.mgmt.tools_Wikis,project.mgmt.tools_YouTrack,project.mgmt.tools_Lucid,comm.tools_Slack,comm.tools_MicrosoftTeams,comm.tools_GoogleMeet,comm.tools_Zoom,comm.tools_Discord,comm.tools_Telegram,comm.tools_Skype,comm.tools_Whatsapp,comm.tools_Signal,comm.tools_GoogleChat,comm.tools_CiscoWebexTeams,comm.tools_Mattermost,comm.tools_Jitsi,comm.tools_Matrix,comm.tools_Rocketchat,ai.search.tools_ChatGPT,ai.search.tools_GitHubCopilot,ai.search.tools_GoogleGemini,ai.search.tools_BingAI,ai.search.tools_VisualStudioIntellicode,ai.search.tools_Tabnine,ai.search.tools_Claude,ai.search.tools_Codeium,ai.search.tools_WolframAlpha,ai.search.tools_Other,ai.search.tools_Phind,ai.search.tools_PerplexityAI,ai.search.tools_AmazonQ,ai.search.tools_MetaAI,ai.search.tools_OpenAICodex
2258,R09,25-34,Full-time,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,25.0,"Developer, full-stack","10,000 or more employees",Individual contributor,Banking/Financial Services,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,Yes,Favorable,I'm not sure,30-60 minutes a day,15-30 minutes a day,Hybrid (on-prem and cloud),AI-powered search (free),5.0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1354,R17,35-44,Part-time,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,11.0,"Developer, back-end",2 to 9 employees,Individual contributor,Software Development,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,"No, but I plan to soon",Indifferent,No,15-30 minutes a day,30-60 minutes a day,Cloud only (single or multi-cloud),Traditional public search engine,10.0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,R17,35-44,Full-time,Remote,Primary/elementary school,I am a developer by profession,1.0,"Developer, back-end",20 to 99 employees,Individual contributor,"Internet, Telecomm or Information Services",I have little or no influence,Not_Applicable,Yes,Favorable,Yes,Over 120 minutes a day,15-30 minutes a day,Cloud only (single or multi-cloud),Traditional public search engine,6.0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111,R17,25-34,Full-time,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,7.0,"Developer, mobile",100 to 499 employees,Not_Applicable,Not_Applicable,I have some influence,Is set up to be customized and needs to be engineered into a usable product,"No, and I don't plan to",No_Opinion,No_Opinion,Not_Applicable,Not_Applicable,Not_Applicable,Not_Applicable,7.0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,R17,18-24,Full-time,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,3.0,"Developer, back-end",10 to 19 employees,Individual contributor,Media & Advertising Services,I have some influence,Out-of-the-box is ready to go with little need for customization,Yes,Very favorable,I'm not sure,30-60 minutes a day,15-30 minutes a day,Cloud only (single or multi-cloud),Traditional public search engine,7.0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,R08,45-54,Freelance/Self-employed,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,28.0,"Developer, full-stack",2 to 9 employees,Individual contributor,Software Development,I have a great deal of influence,Is ready-to-go but also customizable for growth and targeted use cases,Yes,Favorable,No,Less than 15 minutes a day,15-30 minutes a day,On-prem,Traditional public search engine,9.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
434,R13,25-34,Freelance/Self-employed,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,11.0,"Developer, full-stack",20 to 99 employees,Not_Applicable,Not_Applicable,I have some influence,Out-of-the-box is ready to go with little need for customization,Yes,Very favorable,No,Not_Applicable,Not_Applicable,Not_Applicable,Not_Applicable,7.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2310,R17,18-24,Full-time,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,7.0,Data engineer,10 to 19 employees,Not_Applicable,Not_Applicable,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,Yes,Favorable,No,Not_Applicable,Not_Applicable,Not_Applicable,Not_Applicable,7.0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
553,R17,18-24,Full-time,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,4.0,"Developer, front-end",20 to 99 employees,Individual contributor,Not_Applicable,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,Yes,Favorable,No,Not_Applicable,Not_Applicable,Not_Applicable,Not_Applicable,7.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,R17,45-54,Full-time,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,23.0,"Developer, full-stack",10 to 19 employees,Individual contributor,Software Development,I have little or no influence,Is ready-to-go but also customizable for growth and targeted use cases,Yes,Favorable,No,60-120 minutes a day,30-60 minutes a day,Hybrid (on-prem and cloud),A coworker,5.0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
